Command:,vxtractor.pl -h HMMs/SSU/bacteria/ -r V1 -r V2 -i long -o testfileSSUbact.output.fasta -c testfileSSUbact.output.csv testfileSSUbact.fasta
Options:,Include long HMM in fasta
Sequence,V1leftlong,V1leftshort,V1rightlong,V1rightshort,V2leftlong,V2leftshort,V2rightlong,V2rightshort,V1,V2
"'AF353236.1.1426","'1-40","'3-40","'69-115","'69-96","'98-148","'98-148","'199-248","'199-248","'1-115","'98-248","'"
"'AJ582229.1.1415","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'183-232","'183-232","'1-101","'84-232","'"
"'AY180102.1.1430","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'183-232","'183-232","'1-101","'84-232","'"
"'AB033325.1.1478","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'183-232","'183-232","'1-101","'84-232","'"
"'AY328619.1.1478","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'183-232","'183-232","'1-101","'84-232","'"
"'AJ292601.1.1452","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'183-232","'183-232","'1-101","'84-232","'"
"'AJ292605.1.1448","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'183-232","'183-232","'1-101","'84-232","'"
"'AF208516.1.1475","'1-40","'3-40","'57-103","'57-84","'86-136","'86-136","'185-234","'185-234","'1-103","'86-234","'"
"'AF338176.1.1477","'1-40","'3-40","'57-103","'57-84","'86-136","'86-136","'185-234","'185-234","'1-103","'86-234","'"
"'AB071954.1.1427","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'183-232","'183-232","'1-101","'84-232","'"
"'U89822.1.1419","'1-40","'3-40","'53-99","'53-80","'82-132","'82-132","'181-230","'181-230","'1-99","'82-230","'"
"'Z70004.1.1411","'1-40","'3-40","'56-102","'56-83","'85-135","'85-135","'185-234","'185-234","'1-102","'85-234","'"
"'Y09434.1.1489","'1-40","'3-40","'73-120","'73-100","'103-153","'103-153","'226-275","'226-275","'1-120","'103-275","'"
"'EF572694.1.1449","'1-40","'3-40","'53-99","'53-80","'82-132","'82-132","'180-229","'180-229","'1-99","'82-229","'"
"'EU804349.1.1449","'1-40","'3-40","'53-99","'53-80","'82-132","'82-132","'180-229","'180-229","'1-99","'82-229","'"
"'AY172815.1.1438","'1-40","'3-40","'53-99","'53-80","'82-132","'82-132","'180-229","'180-229","'1-99","'82-229","'"
"'EF575309.1.1449","'1-40","'3-40","'53-99","'53-80","'82-132","'82-132","'180-229","'180-229","'1-99","'82-229","'"
"'AJ630415.1.1413","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'182-231","'182-231","'1-101","'84-231","'"
"'AJ133174.1.1446","'1-40","'3-40","'57-103","'57-84","'86-136","'86-136","'184-233","'184-233","'1-103","'86-233","'"
"'DQ293994.1.1484","'1-40","'3-40","'55-101","'55-82","'84-134","'84-134","'182-231","'182-231","'1-101","'84-231","'"
"'D86305.1.1477","'1-40","'3-40","'71-118","'71-98","'101-151","'101-151","'216-265","'216-265","'1-118","'101-265","'"
"'AB108480.1.1486","'1-40","'3-40","'69-116","'69-96","'99-149","'99-149","'213-262","'213-262","'1-116","'99-262","'"
"'AJ575501.1.1471","'1-40","'3-40","'65-112","'65-91","'95-145","'95-145","'208-257","'208-257","'1-112","'95-257","'"
"'AF195411.1.1478","'1-40","'3-40","'63-110","'63-90","'93-143","'93-143","'210-259","'210-259","'1-110","'93-259","'"
"'AY336518.1.1496","'1-40","'3-40","'63-110","'63-90","'93-143","'93-143","'206-255","'206-255","'1-110","'93-255","'"
"'AJ441057.1.1482","'1-40","'3-40","'69-116","'69-96","'99-149","'99-149","'212-261","'212-261","'1-116","'99-261","'"
"'AF481211.1.1474","'1-40","'3-40","'63-110","'63-90","'93-143","'93-143","'207-256","'207-256","'1-110","'93-256","'"
"'EF527237.1.1492","'1-40","'3-40","'67-114","'67-94","'97-147","'97-147","'210-259","'210-259","'1-114","'97-259","'"
"'DQ663169.1.1490","'1-40","'3-40","'63-110","'63-90","'93-143","'93-143","'207-256","'207-256","'1-110","'93-256","'"
"'EF063500.1.1491","'1-40","'3-40","'63-110","'63-90","'93-143","'93-143","'208-257","'208-257","'1-110","'93-257","'"
"'X92606.1.1459","'1-40","'3-40","'63-110","'63-90","'93-143","'93-143","'206-255","'206-255","'1-110","'93-255","'"
"'AF060689.1.1485","'1-40","'3-40","'63-110","'63-90","'93-143","'93-143","'207-256","'207-256","'1-110","'93-256","'"
"'X77439.1.1474","'1-40","'3-40","'67-114","'67-94","'97-147","'97-147","'211-260","'211-260","'1-114","'97-260","'"
"'AY228479.1.1503","'1-40","'3-40","'71-118","'71-98","'101-151","'101-151","'216-265","'216-265","'1-118","'101-265","'"
"'AJ244665.1.1449","'1-40","'3-40","'69-116","'69-96","'99-149","'99-149","'213-262","'213-262","'1-116","'99-262","'"
"'FJ889675.1.1490","'1-40","'3-40","'67-114","'67-94","'97-147","'97-147","'213-262","'213-262","'1-114","'97-262","'"
"'AB098572.1.1487","'1-40","'3-40","'67-114","'67-94","'97-147","'97-147","'211-260","'211-260","'1-114","'97-260","'"
"'AJ609631.1.1464","'1-40","'3-40","'67-114","'67-94","'97-147","'97-147","'211-260","'211-260","'1-114","'97-260","'"
"'AJ306754.1.1521","'1-40","'3-40","'85-132","'85-112","'115-165","'115-165","'230-279","'230-279","'1-132","'115-279","'"
"'AY959077.1.1533","'1-40","'3-40","'73-120","'73-99","'103-153","'103-153","'224-273","'224-273","'1-120","'103-273","'"
"'EU003447.1.1519","'1-40","'3-40","'81-128","'81-108","'111-161","'111-161","'233-282","'233-282","'1-128","'111-282","'"
"'AR119778.1.1517","'1-40","'3-40","'69-116","'69-96","'99-149","'99-149","'222-271","'222-271","'1-116","'99-271","'"
"'AF355627.1.1514","'1-40","'3-40","'69-116","'69-96","'99-149","'99-149","'222-271","'222-271","'1-116","'99-271","'"
"'AE017334.280112.281618","'1-40","'3-40","'71-118","'71-98","'101-151","'101-151","'223-272","'223-272","'1-118","'101-272","'"
"'EF062509.1.1516","'1-40","'3-40","'71-118","'71-98","'101-151","'101-151","'223-272","'223-272","'1-118","'101-272","'"
"'AB100799.1.1499","'1-40","'3-40","'71-118","'71-98","'101-151","'101-151","'221-270","'221-270","'1-118","'101-270","'"
"'AB071347.1.1504","'1-40","'3-40","'71-118","'71-98","'101-151","'101-151","'221-270","'221-270","'1-118","'101-270","'"
"'AY005047.1.1486","'1-40","'3-40","'69-116","'69-96","'99-149","'99-149","'219-268","'219-268","'1-116","'99-268","'"
