ABG94283.1,2515214269,42.86,2e-58,98,186
ABG94284.1,2515217866,51.02,1e-46,89,149
ABG94285.1,2515216094,55.64,1e-103,99,304
ABG94288.1,2515216073,46.28,9e-168,99,490
ABG94290.1,2515217340,45.76,2e-54,72,174
ABG94291.1,2515217319,50.32,1e-97,99,292
ABG94292.1,2515217318,65.4,6e-109,90,318
ABG94293.1,2515218752,71.96,9e-160,98,449
ABG94294.1,2515218751,71.25,0.0,100,595
ABG94295.1,2515214734,62.47,6e-174,92,492
ABG94297.1,2515218750,63.02,0.0,96,691
ABG96268.1,2515217623,74.11,9e-103,92,297
ABG96269.1,2515217624,57.18,0.0,98,687
ABG96270.1,2515217668,46.36,1e-86,99,265
ABG96271.1,2515217669,75.0,0.0,100,602
ABG96272.1,2515217670,62.46,1e-144,98,413
ABG96273.1,2515217671,67.48,1e-59,88,181
ABG96274.1,2515217672,77.98,0.0,99,635
ABG96317.1,2515217675,63.96,5e-117,98,339
ABG96318.1,2515217676,66.07,0.0,97,767
ABG96319.1,2515217677,73.56,1e-140,100,397
ABG96320.1,2515217678,85.43,0.0,99,509
ABG96321.1,2515217679,84.73,0.0,99,578
ABG96324.1,2515214720,71.43,0.0,92,577
ABG96325.1,2515217627,77.04,0.0,99,631
ABG96326.1,2515217628,77.78,1e-160,98,451
ABG96327.1,2515217629,82.0,0.0,99,508
ABG96328.1,2515217630,74.46,7e-100,93,288
ABG96377.1,2515217492,43.25,5e-72,99,229
ABG96378.1,2515217639,58.31,3e-102,99,304
ABG96379.1,2515217640,66.58,0.0,99,520
ABG96380.1,2515216097,48.67,5e-79,90,241
ABG96381.1,2515217641,59.77,0.0,99,588
ABG96382.1,2515217642,68.18,0.0,93,538
ABG96383.1,2515217643,74.43,7e-140,98,395
ABG96384.1,2515217644,57.3,6e-76,91,228
ABG96385.1,2515217645,74.35,0.0,100,576
ABG96435.1,2515217657,73.65,2e-177,99,498
ABG96436.1,2515217658,71.95,2e-137,97,389
ABG96437.1,2515217659,76.21,3e-166,98,465
ABG96438.1,2515217660,77.42,3e-137,96,388
ABG96439.1,2515217661,62.2,2e-102,98,300
ABG96440.1,2515217662,72.28,3e-150,99,425
ABG96441.1,2515216396,72.3,4e-149,92,421
ABG96442.1,2515216730,68.38,0.0,98,555
ABG96465.1,2515217897,67.24,0.0,87,570
ABG96468.1,2515217241,39.08,1e-66,98,210
ABG96469.1,2515214722,78.77,0.0,100,648
ABG96470.1,2515214723,75.28,0.0,99,516
ABG96471.1,2515214724,63.66,2e-141,98,405
ABG96472.1,2515214725,72.59,2e-179,99,503
ABG96474.1,2515214730,74.44,6e-146,97,411
ABG96475.1,2515214731,66.61,0.0,99,769
ABG96476.1,2515214732,73.58,0.0,100,558
ABG96477.1,2515214738,56.39,0.0,97,532
ABG96478.1,2515214739,55.65,2e-135,99,392
ABG96479.1,2515214740,77.53,0.0,100,636
ABG96481.1,2515214742,64.67,2e-119,97,347
ABG96482.1,2515218353,73.31,3e-126,98,360
ABG96483.1,2515214744,71.06,3e-140,96,398
ABG96484.1,2515218088,49.3,2e-105,91,317
ABG96485.1,2515215500,49.56,9e-106,100,315
ABG96486.1,2515215501,46.42,6e-91,91,280
ABG96487.1,2515214748,46.62,8e-121,99,361
ABG96488.1,2515215503,50.14,2e-111,86,333
ABG96489.1,2515218346,53.16,4e-135,83,403
ABG96492.1,2515216779,38.78,5e-50,95,166
ABG97568.1,2515214742,56.76,5e-94,94,282
ABG97570.1,2515218749,47.77,4e-37,94,125
ABG97572.1,2515217318,44.4,5e-59,85,191
ABG97574.1,2515218748,68.35,2e-143,96,406
ABG97575.1,2515216073,47.33,1e-173,96,506
ABG97576.1,2515217677,61.3,1e-112,100,326
ABG97577.1,2515217678,72.91,1e-153,98,434
ABG97578.1,2515217679,75.0,0.0,94,513
ABG97580.1,2515218752,63.97,4e-132,98,379
ABG97583.1,2515216725,48.75,4e-77,100,236
ABG97587.1,2515213956,62.36,5e-99,100,291
ABG97588.1,2515217338,63.56,0.0,94,528
ABG97589.1,2515217627,48.44,2e-131,99,384
ABG97590.1,2515216428,46.28,1e-118,95,360
ABG97593.1,2515217624,46.71,1e-176,98,525
ABG97594.1,2515217675,50.0,4e-83,95,253
ABG97599.1,2515214735,66.48,0.0,98,709
ABG97600.1,2515216785,52.38,2e-91,99,275
ABG97602.1,2515214740,48.87,7e-130,99,380
ABG97603.1,2515217670,39.6,8e-66,91,210
ABG97604.1,2515216436,43.99,1e-92,99,283
ABG97605.1,2515216435,48.61,1e-44,96,144
ABG97606.1,2515217672,67.96,0.0,98,541
ABG97608.1,2515217661,50.8,1e-71,97,221
ABG97609.1,2515214269,46.03,1e-63,98,200
ABH00046.1,2515217626,44.6,8e-101,96,303
ABH00047.1,2515214734,58.92,2e-162,96,462
ABH00048.1,2515218751,67.43,0.0,100,554
ABH00049.1,2515218752,62.54,4e-133,94,382
ABH00051.1,2515217323,69.83,6e-150,96,424
ABH00054.1,2515217373,35.32,6e-31,79,117
ABH00058.1,2515218748,61.09,7e-127,92,365
ABH00059.1,2515217322,48.83,2e-62,95,194
ABH00060.1,2515217321,51.85,3e-32,94,110
ABH00061.1,2515217340,44.97,1e-45,74,151
ABH00062.1,2515217678,61.54,3e-123,93,357
ABH00063.1,2515217679,58.31,3e-143,94,411
ABH00065.1,2515217677,59.33,7e-108,99,314
ABH00066.1,2515217318,54.18,4e-89,88,266
ABH00067.1,2515217339,69.53,0.0,96,754
ABH00070.1,2515217333,43.51,5e-48,77,164
ABH00072.1,2515217484,42.14,7e-84,79,263
ABH00074.1,2515217329,53.83,9e-128,100,374
ABH00075.1,2515218237,37.19,1e-37,83,133
ABH00076.1,2515218375,35.57,5e-37,97,130
ABH00079.1,2515218750,61.71,0.0,99,704
ABH00080.1,2515217319,50.34,5e-86,92,262
ABH00082.1,2515217332,42.14,7e-49,93,164
ABH00083.1,2515217324,41.86,2e-164,95,488
ABH00084.1,2515216428,36.79,3e-71,94,237
ACY32015.1,2515214920,29.89,3e-35,97,131
ACY32016.1,2515215142,46.53,2e-140,99,414
ACY32017.1,2515216523,42.5,9e-54,98,175
ACY32021.1,2515217629,44.33,6e-68,97,214
ACY32022.1,2515217659,43.66,8e-77,95,237
ACY32023.1,2515217658,36.63,1e-45,94,153
ACY32024.1,2515216097,43.53,4e-68,84,214
ACY32025.1,2515217657,44.79,1e-87,97,270
ACY32026.1,2515217660,44.21,4e-63,92,199
ACY32027.1,2515217640,49.87,2e-132,99,385
ACY32028.1,2515217639,36.07,2e-37,80,137
ACY32029.1,2515217645,59.69,1e-160,99,458
ACY32031.1,2515216662,38.05,3e-78,91,254
ACY32032.1,2515217662,53.33,6e-108,99,317
ACY32033.1,2515214203,34.56,3e-45,93,159
ACY32034.1,2515217642,53.77,9e-136,98,395
ACY32035.1,2515217643,61.48,1e-105,98,308
ACY32040.1,2515214300,45.38,1e-107,95,321
ACY32042.1,2515214886,57.41,3e-150,100,432
ACY32043.1,2515214887,44.51,0.0,98,550
ACY32045.1,2515214983,34.47,3e-95,98,313
ACY32047.1,2515214731,37.0,4e-116,99,355
ACY32049.1,2515216954,45.26,2e-158,98,467
ACY32052.1,2515217338,32.33,3e-48,87,167
ACY32055.1,2515218143,40.87,3e-105,92,323
ACY32056.1,2515216362,45.1,8e-65,99,204
ACY32066.1,2515217320,29.58,4e-38,53,144
ACY32067.1,2515214351,48.96,0.0,99,639
ACY32068.1,2515217713,40.6,5e-49,100,163
ACY32075.1,2515215614,40.18,1e-41,83,144
ACY32076.1,2515217661,51.39,4e-81,94,246
ACY32077.1,2515217670,37.54,2e-48,87,165
ACY32078.1,2515214739,33.61,2e-48,96,167
ACY32079.1,2515216435,52.94,1e-47,97,151
ACY32080.1,2515217672,61.3,8e-174,98,492
ACY32081.1,2515214740,48.14,3e-126,100,371
ACY32082.1,2515214381,37.39,8e-109,92,340
ACY32084.1,2515218026,35.43,5e-64,99,210
ACY32085.1,2515216661,33.07,7e-37,99,136
ACY32093.1,2515216128,54.05,3e-130,99,382
ACY32097.1,2515214692,52.12,5e-120,95,352
ACY32102.1,2515217627,35.37,3e-81,97,255
ACY32103.1,2515217676,39.62,2e-117,98,361
ACY32104.1,2515217335,43.18,1e-111,91,345
ACY32105.1,2515217626,43.19,3e-93,96,283
ACY32106.1,2515217641,49.9,3e-165,95,481
CCP43859.1,2515215479,77.75,0.0,96,585
CCP46231.1,2515218410,81.64,0.0,99,961
CCP46314.1,2515214752,53.16,5e-59,98,182
CCP46315.1,2515214751,58.06,1e-60,75,191
CCP46316.1,2515214750,67.19,0.0,78,611
CCP46317.1,2515214749,63.52,4e-172,99,487
CCP46318.1,2515214748,61.4,0.0,97,541
CCP46319.1,2515214747,68.01,5e-174,97,490
CCP46320.1,2515214746,68.75,5e-151,96,431
CCP46321.1,2515214745,65.75,0.0,100,526
CCP46322.1,2515214744,86.79,1e-174,100,485
CCP46323.1,2515214743,92.31,4e-151,92,422
CCP46324.1,2515214742,72.61,5e-140,96,400
CCP46326.1,2515214740,82.75,0.0,100,674
CCP46327.1,2515214739,74.19,0.0,99,545
CCP46328.1,2515214738,76.89,0.0,99,741
CCP46332.1,2515216544,32.78,2e-31,83,117
CCP46337.1,2515214731,81.1,0.0,99,925
CCP46338.1,2515214730,82.76,3e-161,99,450
CCP46339.1,2515214729,60.57,1e-114,100,332
CCP46340.1,2515214728,73.54,0.0,99,583
CCP46341.1,2515214727,59.66,2e-96,98,283
CCP46342.1,2515214725,84.84,0.0,99,594
CCP46343.1,2515214724,74.68,8e-162,100,456
CCP46344.1,2515214723,81.61,0.0,98,572
CCP46345.1,2515214722,87.72,0.0,99,715
CCP46347.1,2515214293,38.79,2e-31,95,112
CCP46348.1,2515214720,79.89,0.0,98,659
CCP46349.1,2515214719,61.81,2e-55,95,172
CCP46351.1,2515214717,69.31,0.0,98,568
CCP46352.1,2515214716,75.78,7e-146,98,411
CCP46353.1,2515214715,78.4,0.0,100,633
CCP46356.1,2515217679,90.09,0.0,99,632
CCP46357.1,2515217678,86.04,0.0,100,524
CCP46358.1,2515217677,78.16,7e-146,100,410
CCP46359.1,2515217676,84.38,0.0,99,991
CCP46360.1,2515217675,73.43,9e-146,100,412
CCP46362.1,2515217672,90.67,0.0,100,725
CCP46363.1,2515217671,76.98,2e-69,98,206
CCP46364.1,2515217670,70.89,6e-163,98,459
CCP46365.1,2515217669,83.46,0.0,100,677
CCP46366.1,2515217668,74.85,6e-169,99,475
CCP46367.1,2515217667,73.62,0.0,96,642
CCP46368.1,2515217666,88.24,0.0,100,696
CCP46370.1,2515217662,81.91,5e-179,100,498
CCP46371.1,2515217661,73.9,1e-127,96,364
CCP46372.1,2515217660,87.65,3e-158,98,441
CCP46373.1,2515217659,85.62,0.0,100,520
CCP46374.1,2515217658,81.93,1e-152,99,427
CCP46375.1,2515217657,83.48,0.0,99,570
CCP46377.1,2515217986,54.3,2e-93,89,278
CCP46378.1,2515217645,86.27,0.0,100,654
CCP46379.1,2515217644,81.54,1e-120,98,341
CCP46381.1,2515217643,86.21,4e-164,99,457
CCP46382.1,2515217642,81.72,0.0,99,653
CCP46383.1,2515217641,76.23,0.0,99,759
CCP46384.1,2515217640,82.13,0.0,99,623
CCP46385.1,2515217639,74.3,9e-138,99,394
CCP46386.1,2515217638,72.15,9e-141,99,402
CCP46387.1,2515217637,79.74,0.0,98,619
CCP46390.1,2515217630,84.7,1e-115,98,328
CCP46391.1,2515217629,85.38,0.0,100,529
CCP46392.1,2515217628,77.54,1e-166,98,466
CCP46393.1,2515217627,85.53,0.0,100,716
CCP46394.1,2515217626,70.39,0.0,99,518
CCP46395.1,2515217625,47.5,8e-39,90,130
CCP46396.1,2515217624,72.52,0.0,99,936
CCP46397.1,2515217623,89.23,5e-126,98,356
