ABG94283.1,2519026134,34.69,9e-39,97,135
ABG94288.1,2519024766,59.96,0.0,98,647
ABG94289.1,2519024764,47.68,3e-43,88,143
ABG94292.1,2519024762,46.98,7e-53,81,174
ABG94293.1,2519024772,66.89,3e-142,100,405
ABG94294.1,2519024771,59.14,2e-164,100,468
ABG94295.1,2519024779,60.05,2e-175,95,497
ABG96268.1,2519023363,44.44,2e-40,83,137
ABG96271.1,2519021921,36.5,3e-57,86,192
ABG96274.1,2519023946,32.61,3e-52,92,179
ABG96317.1,2519023354,52.98,4e-85,98,258
ABG96318.1,2519024766,48.62,9e-151,94,446
ABG96319.1,2519024768,65.13,6e-115,100,332
ABG96320.1,2519024769,74.56,5e-148,96,419
ABG96321.1,2519024770,75.22,0.0,99,516
ABG96324.1,2519024779,66.12,0.0,90,534
ABG96325.1,2519024780,47.62,5e-130,98,380
ABG96326.1,2519024765,41.43,2e-64,92,205
ABG96327.1,2519024772,44.67,9e-84,99,256
ABG96328.1,2519024764,50.93,8e-52,83,166
ABG96379.1,2519021686,62.92,2e-172,100,488
ABG96382.1,2519023930,37.78,1e-77,91,247
ABG96384.1,2519021687,54.04,6e-68,96,208
ABG96436.1,2519021688,53.85,4e-87,96,261
ABG96437.1,2519021689,59.11,2e-109,98,321
ABG96440.1,2519023933,46.92,2e-71,95,224
ABG96441.1,2519022544,43.43,3e-60,90,194
ABG96442.1,2519023362,56.46,3e-149,100,433
ABG97567.1,2519026134,55.42,3e-81,100,245
ABG97572.1,2519024762,62.73,4e-114,91,333
ABG97573.1,2519024764,68.79,8e-74,88,222
ABG97574.1,2519024765,75.0,7e-158,100,444
ABG97575.1,2519024766,69.33,0.0,94,748
ABG97576.1,2519024768,66.67,5e-125,100,358
ABG97577.1,2519024769,80.84,9e-164,96,459
ABG97578.1,2519024770,86.65,0.0,96,601
ABG97580.1,2519024772,70.72,6e-150,100,425
ABG97584.1,2519027264,42.86,3e-75,88,241
ABG97587.1,2519024776,65.41,2e-66,60,205
ABG97588.1,2519024779,72.41,0.0,94,590
ABG97589.1,2519024780,65.45,0.0,98,520
ABG97590.1,2519024781,56.89,0.0,99,525
ABG97591.1,2519024782,60.64,2e-79,93,238
ABG97593.1,2519023909,41.11,2e-133,99,413
ABG97594.1,2519023354,53.12,4e-88,99,266
ABG97598.1,2519024785,71.24,0.0,95,563
ABG97602.1,2519021921,35.19,7e-60,88,199
ABG97606.1,2519023946,32.87,4e-42,89,152
ABH00046.1,2519024767,51.94,1e-123,99,362
ABH00047.1,2519024779,59.89,2e-163,95,466
ABH00048.1,2519024771,57.36,2e-155,100,446
ABH00049.1,2519024772,60.54,2e-129,97,372
ABH00056.1,2519025956,47.44,3e-41,85,137
ABH00058.1,2519024765,67.02,3e-137,95,392
ABH00062.1,2519024769,66.55,2e-126,92,365
ABH00063.1,2519024770,57.58,7e-135,93,390
ABH00065.1,2519024768,58.43,6e-100,99,294
ABH00066.1,2519024762,41.74,2e-41,75,144
ABH00067.1,2519024766,43.45,3e-123,95,375
ABH00072.1,2519023334,43.14,1e-88,84,275
ABH00074.1,2519021917,37.55,6e-42,62,150
ABH00076.1,2519023474,33.87,2e-32,98,119
ABH00083.1,2519023889,35.36,5e-111,96,350
ABH00084.1,2519024781,36.4,6e-80,98,261
ACY32015.1,2519027116,29.73,1e-37,97,138
ACY32017.1,2519021439,37.3,4e-48,99,160
ACY32018.1,2519023474,40.56,2e-42,96,145
ACY32021.1,2519024772,39.58,3e-57,99,186
ACY32022.1,2519021689,49.12,2e-93,98,280
ACY32023.1,2519021688,39.09,1e-48,94,162
ACY32027.1,2519021686,50.77,2e-132,99,386
ACY32029.1,2519023919,36.91,4e-48,95,168
ACY32031.1,2519024473,37.91,7e-69,77,230
ACY32040.1,2519023908,45.58,2e-102,98,309
ACY32042.1,2519024110,57.98,6e-152,99,437
ACY32043.1,2519024109,43.13,0.0,98,545
ACY32045.1,2519023909,32.17,1e-70,98,246
ACY32052.1,2519024779,30.27,3e-45,96,160
ACY32056.1,2519026272,36.0,1e-37,94,132
ACY32066.1,2519024785,30.47,2e-39,53,148
ACY32067.1,2519026906,48.74,0.0,99,651
ACY32068.1,2519024783,36.51,3e-41,97,142
ACY32075.1,2519022681,39.69,1e-42,94,147
ACY32080.1,2519023946,33.59,2e-57,98,193
ACY32093.1,2519023932,35.14,9e-58,92,194
ACY32102.1,2519024780,37.73,9e-92,96,283
ACY32103.1,2519024766,40.43,1e-111,95,346
ACY32105.1,2519024767,42.77,1e-94,97,288
ACY32106.1,2519024129,30.06,2e-54,96,196
CCP46231.1,2519024347,57.67,0.0,98,609
CCP46318.1,2519023805,32.67,2e-49,67,174
CCP46321.1,2519023808,28.53,3e-32,84,124
CCP46322.1,2519023809,51.66,2e-91,97,274
CCP46323.1,2519023810,51.35,5e-76,87,234
CCP46326.1,2519021921,35.8,3e-59,99,197
CCP46340.1,2519026883,35.71,8e-50,80,173
CCP46342.1,2519021345,41.4,4e-79,99,247
CCP46347.1,2519026286,46.11,3e-40,96,135
CCP46348.1,2519024779,59.79,1e-163,97,466
CCP46356.1,2519024770,73.27,5e-177,96,497
CCP46357.1,2519024769,71.88,2e-144,95,410
CCP46358.1,2519024768,64.62,1e-109,99,318
CCP46359.1,2519024766,46.42,1e-145,97,433
CCP46360.1,2519023354,49.64,5e-76,98,234
CCP46362.1,2519023932,35.11,3e-48,92,168
CCP46367.1,2519023964,34.29,3e-67,94,220
CCP46370.1,2519023933,45.73,6e-68,94,215
CCP46373.1,2519021689,58.22,2e-107,100,316
CCP46374.1,2519021688,52.82,4e-84,99,253
CCP46376.1,2519023760,40.34,3e-74,51,244
CCP46379.1,2519021687,52.08,1e-62,96,194
CCP46383.1,2519024129,32.71,3e-57,98,204
CCP46384.1,2519021686,63.42,1e-169,99,481
CCP46387.1,2519025310,33.42,3e-40,93,146
CCP46390.1,2519024764,48.39,2e-45,83,149
CCP46391.1,2519024772,46.44,2e-85,98,260
CCP46392.1,2519024765,41.47,1e-66,99,211
CCP46393.1,2519024780,47.42,6e-122,98,360
CCP46394.1,2519024767,55.87,8e-129,99,375
CCP46397.1,2519023363,41.94,7e-40,93,135
