AL123456.3,CCP46314.1
AL123456.3,CCP46315.1
AL123456.3,CCP46316.1
AL123456.3,CCP46317.1
AL123456.3,CCP46318.1
AL123456.3,CCP46319.1
AL123456.3,CCP46320.1
AL123456.3,CCP46321.1
AL123456.3,CCP46322.1
AL123456.3,CCP46323.1
AL123456.3,CCP46324.1
AL123456.3,CCP46325.1
AL123456.3,CCP46326.1
AL123456.3,CCP46327.1
AL123456.3,CCP46328.1
AL123456.3,CCP46329.1
AL123456.3,CCP46330.1
AL123456.3,CCP46331.1
AL123456.3,CCP46332.1
AL123456.3,CCP46333.1
AL123456.3,CCP46334.1
AL123456.3,CCP46335.1
AL123456.3,CCP46336.1
AL123456.3,CCP46337.1
AL123456.3,CCP46338.1
AL123456.3,CCP46339.1
AL123456.3,CCP46340.1
AL123456.3,CCP46341.1
AL123456.3,CCP46342.1
AL123456.3,CCP46343.1
AL123456.3,CCP46344.1
AL123456.3,CCP46345.1
AL123456.3,CCP46346.1
AL123456.3,CCP46347.1
AL123456.3,CCP46348.1
AL123456.3,CCP46349.1
AL123456.3,CCP46350.1
AL123456.3,CCP46351.1
AL123456.3,CCP46352.1
AL123456.3,CCP46353.1
AL123456.3,CCP46354.1
AL123456.3,CCP46355.1
AL123456.3,CCP46356.1
AL123456.3,CCP46357.1
AL123456.3,CCP46358.1
AL123456.3,CCP46359.1
AL123456.3,CCP46360.1
AL123456.3,CCP46361.1
AL123456.3,CCP46362.1
AL123456.3,CCP46363.1
AL123456.3,CCP46364.1
AL123456.3,CCP46365.1
AL123456.3,CCP46366.1
AL123456.3,CCP46367.1
AL123456.3,CCP46368.1
AL123456.3,CCP46369.1
AL123456.3,CCP46370.1
AL123456.3,CCP46371.1
AL123456.3,CCP46372.1
AL123456.3,CCP46373.1
AL123456.3,CCP46374.1
AL123456.3,CCP46375.1
AL123456.3,CCP46376.1
AL123456.3,CCP46377.1
AL123456.3,CCP46378.1
AL123456.3,CCP46379.1
AL123456.3,CCP46380.1
AL123456.3,CCP46381.1
AL123456.3,CCP46382.1
AL123456.3,CCP46383.1
AL123456.3,CCP46384.1
AL123456.3,CCP46385.1
AL123456.3,CCP46386.1
AL123456.3,CCP46387.1
AL123456.3,CCP46388.1
AL123456.3,CCP46389.1
AL123456.3,CCP46390.1
AL123456.3,CCP46391.1
AL123456.3,CCP46392.1
AL123456.3,CCP46393.1
AL123456.3,CCP46394.1
AL123456.3,CCP46395.1
AL123456.3,CCP46396.1
AL123456.3,CCP46397.1
AL123456.3,CCP43859.1
AL123456.3,CCP46231.1
CP000431.1,ABG96268.1
CP000431.1,ABG96269.1
CP000431.1,ABG96270.1
CP000431.1,ABG96271.1
CP000431.1,ABG96272.1
CP000431.1,ABG96273.1
CP000431.1,ABG96274.1
CP000431.1,ABG96317.1
CP000431.1,ABG96318.1
CP000431.1,ABG96319.1
CP000431.1,ABG96320.1
CP000431.1,ABG96321.1
CP000431.1,ABG96322.1
CP000431.1,ABG96323.1
CP000431.1,ABG96324.1
CP000431.1,ABG96325.1
CP000431.1,ABG96326.1
CP000431.1,ABG96327.1
CP000431.1,ABG96328.1
CP000431.1,ABG96377.1
CP000431.1,ABG96378.1
CP000431.1,ABG96379.1
CP000431.1,ABG96380.1
CP000431.1,ABG96381.1
CP000431.1,ABG96382.1
CP000431.1,ABG96383.1
CP000431.1,ABG96384.1
CP000431.1,ABG96385.1
CP000431.1,ABG96435.1
CP000431.1,ABG96436.1
CP000431.1,ABG96437.1
CP000431.1,ABG96438.1
CP000431.1,ABG96439.1
CP000431.1,ABG96440.1
CP000431.1,ABG96441.1
CP000431.1,ABG96442.1
CP000431.1,ABG96465.1
CP000431.1,ABG96466.1
CP000431.1,ABG96467.1
CP000431.1,ABG96468.1
CP000431.1,ABG96469.1
CP000431.1,ABG96470.1
CP000431.1,ABG96471.1
CP000431.1,ABG96472.1
CP000431.1,ABG96473.1
CP000431.1,ABG96474.1
CP000431.1,ABG96475.1
CP000431.1,ABG96476.1
CP000431.1,ABG96477.1
CP000431.1,ABG96478.1
