CCP46231.1,AJVB01000258.1_1,72.0,0.0,99,860
CCP46316.1,AJVB01000018.1_25,47.93,1e-128,73,386
CCP46318.1,AJVB01000018.1_27,44.21,2e-109,91,332
CCP46320.1,AJVB01000121.1_2,46.75,7e-98,97,295
CCP46321.1,AJVB01000121.1_3,40.99,4e-87,96,270
CCP46322.1,AJVB01000121.1_4,68.12,3e-121,98,350
CCP46323.1,AJVB01000121.1_5,74.7,3e-134,99,380
CCP46324.1,AJVB01000121.1_6,67.23,8e-120,93,348
CCP46326.1,AJVB01000121.1_8,74.5,0.0,100,605
CCP46327.1,AJVB01000121.1_9,55.15,9e-127,99,370
CCP46328.1,AJVB01000121.1_10,49.55,6e-59,43,194
CCP46337.1,AJVB01000012.1_28,66.3,0.0,98,756
CCP46338.1,AJVB01000012.1_27,70.79,7e-134,98,381
CCP46341.1,AJVB01000362.1_5,50.0,3e-66,97,206
CCP46348.1,AJVB01000130.1_6,68.22,0.0,94,536
CCP46352.1,AJVB01000020.1_12,68.09,2e-133,99,379
CCP46356.1,AJVB01000015.1_11,48.01,4e-102,95,306
CCP46357.1,AJVB01000015.1_10,56.62,1e-106,96,314
CCP46358.1,AJVB01000015.1_9,39.77,5e-45,99,153
CCP46359.1,AJVB01000130.1_8,66.19,0.0,99,744
CCP46362.1,AJVB01000021.1_19,79.17,0.0,99,629
CCP46364.1,AJVB01000021.1_17,64.92,2e-148,99,422
CCP46365.1,AJVB01000021.1_16,72.68,0.0,100,586
CCP46367.1,AJVB01000012.1_17,65.14,0.0,96,575
CCP46368.1,AJVB01000012.1_16,74.68,0.0,100,582
CCP46370.1,AJVB01000012.1_13,70.59,1e-147,99,419
CCP46371.1,AJVB01000012.1_12,67.06,7e-116,95,334
CCP46372.1,AJVB01000008.1_14,75.0,7e-129,99,366
CCP46373.1,AJVB01000008.1_13,74.65,5e-162,99,454
CCP46374.1,AJVB01000008.1_12,69.11,5e-127,98,362
CCP46375.1,AJVB01000008.1_11,71.79,7e-175,99,492
CCP46378.1,AJVB01000008.1_3,73.06,0.0,100,585
CCP46381.1,AJVB01000614.1_1,68.31,2e-62,54,194
CCP46382.1,AJVB01000614.1_2,70.1,0.0,99,553
CCP46383.1,AJVB01000393.1_4,60.79,3e-172,83,494
CCP46384.1,AJVB01000393.1_2,67.01,0.0,99,516
CCP46385.1,AJVB01000362.1_1,53.85,1e-62,63,198
CCP46386.1,AJVB01000362.1_2,45.19,2e-78,95,244
CCP46391.1,AJVB01000130.1_3,80.27,5e-180,99,500
CCP46392.1,AJVB01000130.1_4,74.57,6e-160,99,449
CCP46393.1,AJVB01000130.1_5,78.04,0.0,98,634
CCP46394.1,AJVB01000288.1_4,57.41,1e-130,90,378
CCP46396.1,AJVB01000021.1_14,54.95,0.0,100,672
