ACY32015.1,2520485279,39.0,6e-75,95,238
ACY32015.1,2520484407,35.33,1e-63,94,208
ACY32015.1,2520483067,29.7,7e-35,97,130
ACY32016.1,2520485266,47.14,1e-148,99,435
ACY32016.1,2520485282,47.99,2e-148,99,436
ACY32017.1,2520486640,36.48,2e-42,98,144
ACY32017.1,2520486392,37.5,2e-41,100,142
ACY32017.1,2520483616,37.34,1e-40,98,140
ACY32017.1,2520481839,36.22,3e-40,98,139
ACY32017.1,2520481862,34.91,4e-39,98,137
ACY32017.1,2520483105,34.43,3e-38,98,134
ACY32017.1,2520483942,34.96,2e-37,99,132
ACY32017.1,2520483621,32.12,3e-35,99,126
ACY32017.1,2520485889,36.06,3e-35,99,126
ACY32017.1,2520483334,32.71,1e-33,99,122
ACY32017.1,2520485564,34.05,4e-33,91,120
ACY32017.1,2520481826,31.85,4e-32,98,118
ACY32017.1,2520485917,32.23,2e-31,98,116
ACY32027.1,2520483350,35.31,5e-69,99,224
ACY32029.1,2520483972,49.62,1e-120,99,357
ACY32029.1,2520481837,48.1,2e-111,99,333
ACY32029.1,2520485501,45.27,5e-106,99,319
ACY32029.1,2520486448,46.29,2e-93,99,286
ACY32031.1,2520486349,36.17,7e-69,90,230
ACY32033.1,2520485495,33.71,1e-42,87,153
ACY32033.1,2520485490,33.51,5e-40,94,145
ACY32033.1,2520483351,30.71,2e-31,91,120
ACY32040.1,2520485502,43.73,3e-95,95,290
ACY32040.1,2520486618,43.82,3e-93,94,285
ACY32040.1,2520483360,45.43,2e-90,89,277
ACY32042.1,2520481569,55.56,4e-141,100,409
ACY32043.1,2520481570,43.88,0.0,98,539
ACY32044.1,2520482203,30.97,5e-54,95,190
ACY32045.1,2520485492,41.74,1e-62,40,215
ACY32056.1,2520481856,39.68,2e-46,96,155
ACY32065.1,2520483875,40.33,4e-43,91,143
ACY32067.1,2520483492,47.17,0.0,99,587
ACY32075.1,2520483343,35.46,5e-38,91,134
ACY32075.1,2520485488,39.38,2e-36,80,129
ACY32075.1,2520483353,33.07,2e-34,94,125
ACY32075.1,2520485489,33.86,4e-33,90,121
ACY32075.1,2520481835,35.04,3e-31,93,116
ACY32080.1,2520485907,32.91,3e-49,97,174
ACY32082.1,2520484097,37.31,2e-113,89,352
ACY32082.1,2520484499,25.61,4e-38,86,148
ACY32084.1,2520485494,37.0,7e-61,99,202
ACY32093.1,2520483346,33.0,2e-52,98,180
ACY32093.1,2520481852,35.99,9e-50,88,172
ACY32102.1,2520483926,29.93,9e-40,100,145
ACY32105.1,2520486414,42.65,3e-88,95,270
ACY32105.1,2520481497,31.25,2e-47,99,164
CCP46231.1,2520482308,71.13,0.0,98,833
CCP46231.1,2520481619,62.61,0.0,98,681
CCP46318.1,2520484252,35.8,1e-60,72,204
CCP46322.1,2520486252,58.57,7e-116,100,336
CCP46323.1,2520486253,64.34,5e-96,96,283
CCP46323.1,2520485118,52.77,2e-86,93,259
CCP46323.1,2520481583,41.28,4e-47,86,158
CCP46326.1,2520484020,35.63,3e-65,99,214
CCP46338.1,2520483353,39.47,8e-45,98,152
CCP46338.1,2520483369,34.36,2e-39,95,138
CCP46339.1,2520483179,46.54,6e-64,93,203
CCP46340.1,2520481875,32.81,5e-49,90,171
CCP46340.1,2520481880,33.07,2e-48,93,169
CCP46342.1,2520482285,42.86,5e-86,99,265
CCP46347.1,2520481513,41.67,1e-38,96,130
CCP46362.1,2520481852,37.06,2e-50,92,174
CCP46362.1,2520485907,34.09,3e-50,99,177
CCP46362.1,2520483346,34.41,2e-45,87,160
CCP46376.1,2520481497,42.35,2e-84,53,271
CCP46378.1,2520485501,47.16,3e-113,100,337
CCP46378.1,2520483972,45.75,2e-112,99,335
CCP46378.1,2520481837,45.0,1e-103,100,313
CCP46378.1,2520486448,45.93,3e-101,100,306
CCP46381.1,2520483616,38.21,1e-35,93,127
CCP46382.1,2520485494,37.79,4e-59,99,197
CCP46383.1,2520482126,33.13,3e-59,90,204
CCP46387.1,2520482341,58.47,6e-150,94,431
CCP46390.1,2520482119,44.03,7e-40,84,134
CCP46393.1,2520483926,29.56,8e-43,98,154
CCP46394.1,2520486414,51.03,1e-112,95,333
CCP46396.1,2520485494,40.41,1e-61,46,212
CCP46397.1,2520481791,67.35,1e-91,98,268
ABH00046.1,2520486414,42.82,8e-87,96,267
ABH00046.1,2520481497,32.06,1e-44,90,157
ABH00056.1,2520482119,44.72,5e-43,88,141
ABH00070.1,2520483381,37.23,3e-32,80,122
ABH00071.1,2520483352,40.21,3e-42,86,143
ABH00072.1,2520481990,39.09,7e-87,92,271
ABH00072.1,2520482648,35.43,1e-73,94,236
ABH00072.1,2520485797,34.92,4e-68,94,222
ABH00072.1,2520486453,37.06,2e-65,80,215
ABH00072.1,2520481846,31.83,7e-59,94,197
ABH00072.1,2520481849,34.59,3e-53,93,182
ABH00072.1,2520483936,30.67,9e-52,91,178
ABH00072.1,2520483342,31.57,1e-45,94,166
ABH00074.1,2520485492,34.53,3e-34,89,129
ABH00074.1,2520485494,38.39,2e-32,54,124
ABH00079.1,2520481881,54.61,0.0,98,585
ABH00079.1,2520481819,47.83,0.0,98,536
ABH00079.1,2520483326,32.56,9e-67,82,227
ABH00080.1,2520481820,39.75,8e-41,75,144
ABH00083.1,2520484441,36.53,1e-132,97,405
ABH00083.1,2520483339,37.16,1e-131,99,403
ABH00083.1,2520484054,34.11,7e-88,71,285
ABH00083.1,2520481550,33.86,5e-73,76,245
ABH00083.1,2520481618,34.97,4e-72,73,242
ABH00083.1,2520483383,31.88,3e-61,72,212
ABG96268.1,2520481791,78.87,6e-106,92,305
ABG96274.1,2520485907,34.5,3e-54,98,188
ABG96317.1,2520483344,38.52,4e-51,88,170
ABG96325.1,2520483926,31.38,8e-49,98,169
ABG96377.1,2520485495,37.29,1e-60,98,200
ABG96377.1,2520485490,40.45,2e-57,97,191
ABG96382.1,2520483350,43.7,2e-85,85,268
ABG96382.1,2520485494,36.95,6e-64,93,211
ABG96441.1,2520483631,41.98,4e-56,85,183
ABG96466.1,2520485950,45.01,1e-96,93,297
ABG96482.1,2520486253,66.12,3e-94,95,279
ABG96483.1,2520486252,66.67,1e-129,96,371
ABG96484.1,2520486251,44.35,1e-88,92,275
ABG96485.1,2520486250,48.81,1e-93,99,283
ABG96486.1,2520486249,45.11,1e-90,90,277
ABG96487.1,2520486248,48.46,2e-131,98,386
ABG96488.1,2520486247,51.02,5e-111,85,332
ABG96489.1,2520486246,42.79,5e-107,93,326
ABG97567.1,2520485925,36.03,3e-47,98,157
ABG97584.1,2520485222,40.24,3e-74,80,237
ABG97585.1,2520484018,65.77,8e-112,96,325
ABG97585.1,2520486154,39.66,3e-38,86,135
ABG97586.1,2520486468,35.34,3e-35,99,127
ABG97589.1,2520483926,28.42,1e-41,97,150
ABG97594.1,2520483344,39.68,2e-51,85,171
ABG97602.1,2520485903,30.73,1e-49,98,172
ABG97606.1,2520485907,31.71,4e-45,99,162
ABG94283.1,2520485925,43.87,3e-54,98,176
ABG94283.1,2520485564,34.8,2e-31,90,116
ABG94285.1,2520481826,56.67,1e-102,97,302
ABG94285.1,2520483104,51.82,5e-97,99,288
ABG94285.1,2520483334,44.65,1e-72,98,225
ABG94297.1,2520481881,56.04,0.0,96,590
ABG94297.1,2520481819,51.04,0.0,95,566
