ACY32015.1,2529300489,39.28,3e-77,95,243
ACY32015.1,2529300269,31.09,4e-38,94,139
ACY32016.1,2529300486,48.22,5e-146,97,428
ACY32016.1,2529303115,46.22,8e-145,99,426
ACY32017.1,2529298528,34.92,1e-34,96,124
ACY32018.1,2529302220,40.0,4e-42,96,145
ACY32030.1,2529302348,30.17,4e-38,91,144
ACY32031.1,2529298850,37.72,1e-79,91,258
ACY32031.1,2529302066,33.4,1e-44,87,162
ACY32031.1,2529300011,30.02,8e-38,89,142
ACY32040.1,2529298404,45.81,1e-100,95,303
ACY32042.1,2529298704,54.76,4e-141,100,409
ACY32043.1,2529298703,44.32,0.0,98,544
ACY32043.1,2529298865,42.34,4e-169,98,504
ACY32044.1,2529301277,34.96,5e-76,95,250
ACY32044.1,2529300703,28.97,1e-51,92,184
ACY32056.1,2529301531,41.2,4e-46,96,155
ACY32065.1,2529301607,39.23,5e-38,91,130
ACY32067.1,2529302192,47.17,0.0,99,588
ACY32075.1,2529298893,37.55,2e-45,94,154
ACY32082.1,2529302715,36.82,3e-103,88,326
ACY32082.1,2529301754,26.45,8e-36,77,141
ACY32105.1,2529302920,37.01,1e-79,98,248
ACY32105.1,2529299903,38.66,1e-74,97,236
ACY32105.1,2529298826,30.7,1e-46,96,162
ACY32106.1,2529298920,35.12,1e-72,92,240
CCP46231.1,2529300808,71.83,0.0,98,836
CCP46231.1,2529302948,69.98,0.0,99,821
CCP46231.1,2529298663,60.95,0.0,99,654
CCP46318.1,2529302895,36.39,1e-60,67,204
CCP46321.1,2529298845,29.75,2e-31,78,121
CCP46323.1,2529302900,52.3,3e-86,94,258
CCP46323.1,2529302939,43.3,6e-59,88,188
CCP46326.1,2529302639,35.0,1e-64,99,212
CCP46342.1,2529300786,41.71,7e-78,99,243
CCP46347.1,2529299887,38.51,5e-35,100,121
CCP46367.1,2529299716,26.19,9e-40,86,146
CCP46376.1,2529298826,40.88,4e-84,52,270
CCP46377.1,2529300377,44.84,2e-62,97,199
CCP46387.1,2529300130,60.16,4e-162,96,462
CCP46394.1,2529302920,46.8,5e-110,96,327
CCP46394.1,2529299903,47.62,5e-98,99,296
ABH00046.1,2529302920,44.6,1e-98,97,298
ABH00046.1,2529299903,38.18,2e-61,96,201
ABH00046.1,2529298826,30.88,4e-43,90,153
ABH00072.1,2529298790,45.9,4e-85,79,265
ABH00072.1,2529298861,38.68,1e-76,82,245
ABH00072.1,2529302345,39.34,3e-72,85,233
ABH00072.1,2529302387,34.51,8e-65,93,213
ABH00072.1,2529300346,35.76,1e-62,80,207
ABH00072.1,2529302485,32.99,2e-54,92,186
ABH00074.1,2529302639,27.51,1e-31,83,122
ABH00083.1,2529302438,37.33,6e-133,97,406
ABH00083.1,2529302671,36.02,7e-91,70,293
ABH00083.1,2529299907,34.11,7e-84,77,273
ABH00083.1,2529298664,35.71,1e-83,72,273
ABH00083.1,2529302922,31.51,1e-79,76,262
ABH00083.1,2529298873,34.14,1e-72,69,243
ABH00083.1,2529299555,31.96,9e-64,73,219
ABG96441.1,2529299011,39.22,2e-52,94,173
ABG97584.1,2529303065,40.24,1e-70,80,229
ABG97585.1,2529302637,59.26,1e-107,99,314
